id,Name,Date,Amount,
,COPASA WATER AND SANITATION PROGRAMME,13/12/2019,145000000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,10675000.00,
,TRAFFORD PARK METRO LINE EXTENSION,13/12/2019,149686258.00,
,GEWOFAG SOZIALES & NACHHALTIGES WOHNEN MUENCHEN,13/12/2019,90000000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,10675000.00,
,MOLMED (EGFF),13/12/2019,7500000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,21350000.00,
,GENESIS SOCIAL HOUSING,13/12/2019,102984145.00,
,MBIL FINEA,13/12/2019,35000000.00,
,EAST AFRICA SME-FOCUSED REGIONAL FACILITY,13/12/2019,15000000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,8540000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,2135000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,2135000.00,
,NEW HERAKLION INTERNATIONAL AIRPORT PPP,13/12/2019,180000000.00,
,EIB-EIF SME FUNDS INVESTMENT FACILITY,13/12/2019,7526997.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,21350000.00,
,ONEE - NOOR ATLAS,13/12/2019,129000000.00,
,KYMSOTE HOSPITALS,13/12/2019,120000000.00,
,EIB-EIF SME FUNDS INVESTMENT FACILITY,13/12/2019,7526997.00,
,EIB-EIF SME FUNDS INVESTMENT FACILITY,13/12/2019,5000000.00,
,ONEE-AEP AMELIORATION ET ASSAINISSEMENT II,13/12/2019,37500000.00,
,EIB-EIF SME FUNDS INVESTMENT FACILITY,13/12/2019,5000000.00,
,MOLMED (EGFF),13/12/2019,7500000.00,
,QUAERO EUROPEAN INFRASTRUCTURE FUND II,13/12/2019,8540000.00,
,EIB-CDC CO-INVESTMENT PLATFORM URBAN DEVELOPMENT,12/12/2019,100000000.00,
,PERSONALISED IMMUNOTHERAPIES (EGFF),12/12/2019,25000000.00,
,ARKEA SME AND MIDCAP & CLIMATE ACTION MBIL,12/12/2019,110000000.00,
,ARKEA SME AND MIDCAP & CLIMATE ACTION MBIL,12/12/2019,40000000.00,
,PERSONALISED IMMUNOTHERAPIES (EGFF),12/12/2019,25000000.00,
,BNP PARIBAS BANK POLSKA ENERGY EFF PF4EE CA,12/12/2019,9935516.00,
,AZIMO (EGFF),12/12/2019,10000000.00,
,AZIMO (EGFF),12/12/2019,10000000.00,
,BNP PARIBAS BANK POLSKA ENERGY EFF PF4EE CA,12/12/2019,6089510.00,
,EFL - ENHANCED SUPPORT FOR SMES & MIDCAPS,12/12/2019,73346739.00,
,NIGELEC EXPANSION DE L ACCES A L ELECTRICITE,11/12/2019,61000000.00,
,CRAFT - CLIMATE RESILIENCE SOLUTIONS FUND,11/12/2019,9751693.00,
,SMART GRID AND WATER INFRASTRUCTURE LINZ,11/12/2019,111000000.00,
,BANKINTER FOCUSED LOAN FOR SMES AND MIDCAPS,11/12/2019,199006772.00,
,SMART GRID AND WATER INFRASTRUCTURE LINZ,11/12/2019,39000000.00,
,BPCE ACTION POUR LE CLIMAT,11/12/2019,125000000.00,
,AREC OCCITANIE (SFSB),11/12/2019,40000000.00,
,BUCHAREST S4 ENERGY EFFICIENCY,11/12/2019,14029535.00,
,CRAFT - CLIMATE RESILIENCE SOLUTIONS FUND LCFP,11/12/2019,5000000.00,
,KCM LEAD ZINC CAPACITY EXPANSION,11/12/2019,65000000.00,
,OMNES CAPENERGIE 4 FUND,11/12/2019,26250000.00,
,CRAFT - CLIMATE RESILIENCE SOLUTIONS FUND,11/12/2019,4875847.00,
,OMNES CAPENERGIE 4 FUND,11/12/2019,26250000.00,
,OMNES CAPENERGIE 4 FUND,11/12/2019,11250000.00,
,NIEDERRHEIN-MUENSTERLAND-NETZ,11/12/2019,192000000.00,
,OMNES CAPENERGIE 4 FUND,11/12/2019,11250000.00,
,DKB ERNEUERBARE ENERGIEN UND INFRASTRUKTUR GD,11/12/2019,100000000.00,
,PUBLIACQUA WATER INFRASTRUCTURE UPGRADE,11/12/2019,40000000.00,
,CRAFT - CLIMATE RESILIENCE SOLUTIONS FUND,11/12/2019,9751693.00,
,METIER SUSTAINABLE CAPITAL FUND II,10/12/2019,3972195.00,
,METIER SUSTAINABLE CAPITAL FUND II,10/12/2019,35749752.00,
,NEW AROMATICS TECHNOLOGY DEVELOPMENT,10/12/2019,60000000.00,
,UNICREDIT LEASING SK LOAN FOR SMES AND MIDCAPS,10/12/2019,50000000.00,
,UNICREDIT LEASING CZ LOAN FOR SMES AND MIDCAPS,10/12/2019,50000000.00,
,IM2 SOLAR DEVELOPER FINANCE,09/12/2019,12950000.00,
,IM2 SOLAR DEVELOPER FINANCE,09/12/2019,12950000.00,
,JIRAMA WATER III - PRIORITAIRE,09/12/2019,35000000.00,
,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,09/12/2019,86720287.00,
,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,09/12/2019,13248933.00,
,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,09/12/2019,12044484.00,
,ACSM-AGAM ENERGY EFFICIENCY & CLIMATE ACTION,09/12/2019,37000000.00,
,ACSM-AGAM ENERGY EFFICIENCY & CLIMATE ACTION,09/12/2019,12558000.00,
,ACSM-AGAM ENERGY EFFICIENCY & CLIMATE ACTION,09/12/2019,8442000.00,
,ACSM-AGAM ENERGY EFFICIENCY & CLIMATE ACTION,09/12/2019,17000000.00,
,DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI,09/12/2019,8431139.00,
,ACSM-AGAM ENERGY EFFICIENCY & CLIMATE ACTION,09/12/2019,25000000.00,
,LA ISLA SOLAR PV,09/12/2019,40898548.00,
,LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT,09/12/2019,50000000.00,
,RABOBANK IMPACT LOAN FOR SMES AND MIDCAPS V,06/12/2019,250000000.00,
,FLANDERS SUSTAINABLE WASTEWATER TREATMENT (AQF),06/12/2019,100000000.00,
,ST MAARTEN AIRPORT POST-HURRICANE RECONSTRUCTION,06/12/2019,44228218.00,
,SGEF CZ CLIMATE ACTION AND OTHER PRIORITIES II,06/12/2019,22902000.00,
,TDB SMES AND CLIMATE ACTION LOAN,06/12/2019,27041644.00,
,TDB SMES AND CLIMATE ACTION LOAN,06/12/2019,81124932.00,
,SGEF CZ CLIMATE ACTION AND OTHER PRIORITIES II,06/12/2019,157098000.00,
,SOLARIA PV PLANTS,05/12/2019,25000000.00,
,BOURGOGNE-FRANCHE-COMTE MATERIEL ROULANT,05/12/2019,123045000.00,
,ATI MEMBERSHIP CONTRIBUTION NIGER,05/12/2019,11370000.00,
,ARMENIA M6 INTERSTATE ROAD,04/12/2019,4250000.00,
,EU FUNDS CO-FINANCING 2014-2020 (LV),04/12/2019,60000000.00,
,EU FUNDS CO-FINANCING 2014-2020 (LV),04/12/2019,20000000.00,
,EU FUNDS CO-FINANCING 2014-2020 (LV),04/12/2019,10000000.00,
,KIRUNA MALMBERGET URBAN RENEWAL,04/12/2019,100000000.00,
,JUNGHEINRICH INTRALOGISTICS SOLUTIONS RDI,04/12/2019,100000000.00,
,COMMERZBANK LOAN FOR SMES AND MIDCAPS VII,04/12/2019,120000000.00,
,SOUTHERN SSA OFF-GRID SOLAR ENERGY ROLL-OUT,04/12/2019,3609783.00,
,EU FUNDS CO-FINANCING 2014-2020 (LV),04/12/2019,20000000.00,
,EU FUNDS CO-FINANCING 2014-2020 (LV),04/12/2019,70000000.00,
,BASF RDI PROGRAMME,04/12/2019,380000000.00,
,NEOENERGIA GREEN ENERGY FL,04/12/2019,250000000.00,
,COMMERZBANK LOAN FOR SMES AND MIDCAPS VII,04/12/2019,30000000.00,
,CYPRUS BANKS LOAN FOR SMES AND MIDCAPS VI,04/12/2019,100000000.00,
,EU FUNDS CO-FINANCING 2014-2020 (LV),04/12/2019,20000000.00,
,SOUTHERN SSA OFF-GRID SOLAR ENERGY ROLL-OUT,04/12/2019,5414674.00,
,ELECTRICITY NETWORK MODERNISATION & DEVELOPMENT,03/12/2019,440000000.00,
,BANKIA ENHANCED SUPPORT FOR SMES & MIDCAPS,03/12/2019,180000000.00,
,PRIMARY HEALTH CARE CENTRES AUSTRIA,03/12/2019,30000000.00,
,VANTAA EDUCATION INFRASTRUCTURE II,03/12/2019,140000000.00,
,RENFE SUBURBAN SUSTAINABLE TRANSPORT MADRID,02/12/2019,450000000.00,
,GREATER TRIPOLI BASIN WASTEWATER NETWORKS,02/12/2019,18300000.00,
,CYPRUS RE AND EE SMALL INVESTMENTS,02/12/2019,12000000.00,
,CYPRUS RE AND EE SMALL INVESTMENTS,02/12/2019,28000000.00,
,A9 AMSTERDAM PPP,02/12/2019,14755511.00,
,A9 AMSTERDAM PPP,02/12/2019,334689073.00,
,GR BANCARIO COOPERATIVO ICCREA LOAN FOR SMES II,02/12/2019,200000000.00,
,EU FUNDS LA RIOJA CO-FINANCING 2014-2020,02/12/2019,36600000.00,
,RESEAU LIAIN - TRES HAUT DEBIT AIN,02/12/2019,120000000.00,
,EU FUNDS LA RIOJA CO-FINANCING 2014-2020,02/12/2019,23400000.00,
,MANO RIVER UNION ROAD,02/12/2019,20000000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,29600000.00,
,SG FINANS CLIMATE ACTION MBIL,29/11/2019,90000000.00,
,DEUTSCHE LEASING LOAN FOR SMES & MIDCAPS III,29/11/2019,3500000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,8800000.00,
,DEUTSCHE LEASING LOAN FOR SMES & MIDCAPS III,29/11/2019,1500000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,4000000.00,
,DEUTSCHE LEASING LOAN FOR SMES & MIDCAPS III,29/11/2019,31500000.00,
,AFRICAN DEVELOPMENT PARTNERS III,29/11/2019,45984338.00,
,BANCO BPM MIDCAP LOAN II,29/11/2019,200000000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,1600000.00,
,DEUTSCHE LEASING LOAN FOR SMES & MIDCAPS III,29/11/2019,13500000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,20800000.00,
,BBPM AGRICULTURE LOAN FOR SMES AND MIDCAPS,29/11/2019,100000000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,800.00,
,DWS PAN-EUROPEAN INFRASTRUCTURE FUND III,29/11/2019,41250000.00,
,DWS PAN-EUROPEAN INFRASTRUCTURE FUND III,29/11/2019,3750000.00,
,DEUTSCHE LEASING LOAN FOR SMES & MIDCAPS III,29/11/2019,13500000.00,
,BANCO BPM LOAN FOR SMES II,29/11/2019,200000000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,1600000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,10400000.00,
,NORMANDIE MATERIEL ROULANT,29/11/2019,100000000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,800.00,
,DEUTSCHE LEASING LOAN FOR SMES & MIDCAPS III,29/11/2019,31500000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,20800000.00,
,TCX-THE CURRENCY EXCHANGE FUND CAPITAL INCREASE,29/11/2019,15101072.00,
,BANCO BPM MIDCAP LOAN II,29/11/2019,200000000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,29600000.00,
,EU FUNDS VALENCIA CO-FINANCING 2014-2020,29/11/2019,8800000.00,
,KOMMUNALE WIRTSCHAFTSFOERDERUNG BRANDENBURG,29/11/2019,80000000.00,
,BBPM AGRICULTURE LOAN FOR SMES AND MIDCAPS,29/11/2019,100000000.00,
,SALZGITTER STEEL RDI,28/11/2019,150000000.00,
,SID LOAN FOR SMES AND MIDCAPS III,28/11/2019,100000000.00,
,KARAWANKENTUNNEL ASFINAG,28/11/2019,95000000.00,
,COLLEGES LA REUNION,28/11/2019,65000000.00,
,CDC MULTI-OBJECTIVE MBIL,28/11/2019,500000000.00,
,PEKAO LEASING LOAN FOR SMES AND MID-CAPS IV,28/11/2019,100000000.00,
,PEKAO LEASING LOAN FOR SMES AND MID-CAPS IV,28/11/2019,100000000.00,
,WIND FARMS PT I,27/11/2019,2000000.00,
,WIND FARMS PT I,27/11/2019,45000000.00,
,COUNTY OF CORK INVESTMENT PROGRAMME,27/11/2019,24500000.00,
,COUNTY OF CORK INVESTMENT PROGRAMME,27/11/2019,10500000.00,
,EC-EIB SME INITIATIVE ITALY,26/11/2019,44772997.00,
,REHABILITATION LOGEMENT SOCIAL BASSIN MINIER,26/11/2019,153000000.00,
,SAB KOMMUNALE INVESTITIONEN SACHSEN MBIL,26/11/2019,50000000.00,
,TIM MOBILE NETWORK,25/11/2019,350000000.00,
,BANQUE MISR LOAN FOR SMES AND MIDCAPS II,24/11/2019,500000000.00,
,BELAGROPROMBANK LOAN FOR SMES,22/11/2019,20000000.00,
,BELARUS SUSTAINABLE ENERGY SCALE-UP,22/11/2019,27360000.00,
,COLLEGES SEINE MARITIME,22/11/2019,80000000.00,
,BELARUSBANK LOAN FOR SMES,22/11/2019,85000000.00,
,WALBRZYCH URBAN REVITALIZATION,22/11/2019,13960956.00,
,BELARUS SUSTAINABLE ENERGY SCALE-UP,22/11/2019,62640000.00,
,SISECAM GREENFIELD GLASS FIBRE PLANT,22/11/2019,50000000.00,
,EUROPEAN ROADS UKRAINE III,22/11/2019,450000000.00,
,BANCA MARCH LOAN FOR SMES AND MIDCAPS IV,21/11/2019,100000000.00,
,SOGELEASE RO LOAN FOR SMES & MIDCAPS II,21/11/2019,30000000.00,
,BANCA MARCH LOAN FOR SMES AND MIDCAPS IV,21/11/2019,100000000.00,
,AMUNDI EUROPEAN GREEN CREDIT CONTINUUM FUND,21/11/2019,60000000.00,
,ENEL OPEN METER,19/11/2019,250000000.00,
,UNICREDIT LEASING LATVIA LOAN FOR SMES II,19/11/2019,12500000.00,
,ACP MICROFINANCE FACILITY,19/11/2019,6000000.00,
,TERNA TRANSMISSION SYSTEM REHABILITATION PLAN,19/11/2019,490000000.00,
,UNICREDIT LEASING LATVIA LOAN FOR SMES II,19/11/2019,12500000.00,
,UNICREDIT LEASING LATVIA LOAN FOR SMES II,19/11/2019,25000000.00,
,PRODRIVE TECHNOLOGY SOLUTIONS RDI,18/11/2019,50000000.00,
,PROPOTSDAM BEZAHLBARES WOHNEN,18/11/2019,57300000.00,
,ICS SPORTS FACILITIES MBIL,15/11/2019,50000000.00,
,ICS SPORTS FACILITIES MBIL,15/11/2019,50000000.00,
,SOUTHERN AFRICA AND INDIAN OCEAN SMERF,14/11/2019,10000000.00,
,BANKIA SMES & YOUTH EMPLOYMENT,13/11/2019,160000000.00,
,FONDS TOURISME OCCITANIE,13/11/2019,60000000.00,
,WEST & CENTRAL AFRICA PEFF,12/11/2019,5000000.00,
,GREATER TRIPOLI BASIN WASTEWATER NETWORKS,11/11/2019,74000000.00,
,ICO SME-FOCUSED FACILITY FOR EMPLOYMENT,11/11/2019,500000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,10000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,HELSINKI AIRPORT EXPANSION II,08/11/2019,150000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,10000000.00,
,RLB VORARLBERG MULTI-OBJECTIVE MBIL,08/11/2019,29750000.00,
,PIRAEUS PORT EXPANSION,08/11/2019,100000000.00,
,RLB VORARLBERG MULTI-OBJECTIVE MBIL,08/11/2019,5250000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,10000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,5000000.00,
,EIFFEL ESSENTIEL FUND,08/11/2019,10000000.00,
,RENOUVELLEMENT METRO MARSEILLE,07/11/2019,200000000.00,
,TELECOM MALTA BROADBAND EVOLUTION,07/11/2019,28000000.00,
,FAZER - XYLITOL FACTORY,07/11/2019,40000000.00,
,MONTENEGRO EDUCATION PROGRAMME,06/11/2019,18000000.00,
,LOGISTICS DEVELOPMENT CASTILLA LA MANCHA,04/11/2019,64000000.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,35315112.00,
,OEPNV GRAZ,04/11/2019,100000000.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,89227.00,
,DIGITAL INNOVATION ACCELERATION,04/11/2019,110000000.00,
,LA CABRERA Y TALAYUELA SOLAR PV,04/11/2019,6500000.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,3807411.00,
,ELECTRICITY DISTRIBUTION SLOVENIA II,04/11/2019,22000000.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,12746548.00,
,RENOVABLES DE LA RIBERA WIND FARM,04/11/2019,50000000.00,
,LA CABRERA Y TALAYUELA SOLAR PV,04/11/2019,70000000.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,5710529.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,446135.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,551799.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,2758993.00,
,AFFORDABLE HOUSING RLBNW,04/11/2019,75000000.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,615666.00,
,UPPER SILESIA URBAN FRAMEWORK PROGRAMME,04/11/2019,2061144.00,
,OTTOBOCK RESEARCH PROGRAMME,30/10/2019,50000000.00,
,OTTOBOCK RESEARCH PROGRAMME,30/10/2019,50000000.00,
,NETZ ELBE SPREE ROLLING STOCK,30/10/2019,150845086.00,
,VENICE CLEAN URBAN TRANSPORT FLEET RENEWAL,29/10/2019,60000000.00,
,DEIR ALLA WATER SUPPLY AND SANITATION,27/10/2019,16250000.00,
,EGP AFRICAN RENEWABLE ENERGY FL (ZAMBIA),25/10/2019,50027010.00,
,CYPRUS BANKS LOAN FOR SMES AND MIDCAPS VI,25/10/2019,50000000.00,
,DE CECCO FOOD PRODUCTION EXPANSION & INNOVATION,25/10/2019,13000000.00,
,PLAN SANTE FRANCE,25/10/2019,90000000.00,
,BIOSIMILARS (EGFF),24/10/2019,15000000.00,
,BIOSIMILARS (EGFF),24/10/2019,15000000.00,
,SANTANDER RISK SHARING FOR MICRO AND SMALL CO,24/10/2019,225000000.00,
,FRANKFURT FLUGHAFEN TERMINAL 3,24/10/2019,200000000.00,
,SANTANDER RISK SHARING FOR MICRO AND SMALL CO,24/10/2019,225000000.00,
,BNL - ITALIAN RISK SHARING INITIATIVE II,24/10/2019,52000000.00,
,WEST AFRICA MICROFINANCE FACILITY,24/10/2019,10000000.00,
,PLAN EAU ET ASSAINISSEMENT,24/10/2019,150000000.00,
,LOAN FOR AGRICULTURAL SMES AND MIDCAPS SPAIN II,24/10/2019,100000000.00,
,DEUTSCHE TELEKOM MOBILE NETWORK 5G,23/10/2019,275000000.00,
,MALAWI M1 ROAD REHABILITATION I,22/10/2019,95500000.00,
,UFI FILTERS RDI,22/10/2019,41000000.00,
,SID LOAN FACILITY INFRASTRUCTURE ENERGY,21/10/2019,50000000.00,
,BDMG CLIMATE ACTION FL II,21/10/2019,100000000.00,
,RBI LOAN FOR SMES AND MIDCAPS AND INNOVATION,21/10/2019,100000000.00,
,AFRICINVEST VENTURE CAPITAL GROWTH FUND,18/10/2019,15000000.00,
,ERICSSON 5G,18/10/2019,17500000.00,
,ERICSSON 5G,18/10/2019,195500000.00,
,CARBERY GROUP INVESTMENT PROGRAMME,18/10/2019,35000000.00,
,ERICSSON 5G,18/10/2019,13000000.00,
,MOLDOVA SOLID WASTE FRAMEWORK LOAN,18/10/2019,25000000.00,
,REHABILITATION URBAINE TUNISIE II,18/10/2019,6000000.00,
,SOFICO - WALLOON WATERWAYS & ROADS MODERNISATION,18/10/2019,200000000.00,
,ERICSSON 5G,18/10/2019,24000000.00,
,LUBLIN HEATING NETWORK UPGRADE,18/10/2019,23341036.00,
,CVDB - MUNICIPAL ENERGY EFFICIENCY PROGRAMME,17/10/2019,45000000.00,
,KRANKENHAUSINVESTITIONSPROGRAMM BRANDENBURG II,16/10/2019,100000000.00,
,BELGRADE PALILULA SEWERAGE SYSTEM,16/10/2019,35000000.00,
,WATER AUTHORITY RIVIERENLAND,15/10/2019,100000000.00,
,QEV TECHNOLOGIES (EGFF),15/10/2019,8500000.00,
,QEV TECHNOLOGIES (EGFF),15/10/2019,8500000.00,
,INGETEAM ENERGY SOLUTIONS RDI,15/10/2019,70000000.00,
,AN POST INNOVATION AND DIGITALISATION,15/10/2019,40000000.00,
,FLEET RENEWAL LOAN FOR SMES AND MIDCAPS SPAIN,14/10/2019,128900000.00,
,EC-EIB SME INITIATIVE FINLAND,14/10/2019,126840000.00,
,SCF LOAN FOR SMES AND MIDCAPS III,14/10/2019,70000000.00,
,SCF LOAN FOR SMES AND MIDCAPS III,14/10/2019,28800000.00,
,UNICREDIT AGRICULTURE LOAN FOR SMES AND MIDCAPS,11/10/2019,100000000.00,
,ITALIAN MEDIUM SIZED RENEWABLES FRAMEWORK LOAN,11/10/2019,100000000.00,
,ISP AGRICULTURE LOAN FOR SMES AND MIDCAPS,11/10/2019,100000000.00,
,ITALIAN MEDIUM SIZED RENEWABLES FRAMEWORK LOAN,11/10/2019,50000000.00,
,BEH IGB INTERCONNECTOR,10/10/2019,18979730.00,
,BEH IGB INTERCONNECTOR,10/10/2019,90920270.00,
,FATEN PALESTINE MICROFINANCE LOAN,09/10/2019,9106639.00,
,BUCHAREST S2 ENERGY EFFICIENCY,04/10/2019,21097000.00,
,CA ITALIA AGRICULTURE LOAN FOR SMES AND MIDCAPS,03/10/2019,50000000.00,
,POSTE ITALIANE AUTOMATISATION AND DIGITALISATION,03/10/2019,400000000.00,
,MCTAA - LOAN FOR SMES AND MIDCAP,02/10/2019,50000000.00,
,CCR ALTO ADIGE LOAN FOR SMES AND MID-CAPS III,02/10/2019,30000000.00,
,LODZ URBAN RENEWAL,02/10/2019,68653028.00,
,LEBANON PRIVATE SECTOR RESILIENCE FACILITY,01/10/2019,50000000.00,
,LEBANON PRIVATE SECTOR RESILIENCE FACILITY,01/10/2019,30000000.00,
,BERLIN FORSCHUNG III,01/10/2019,169100000.00,
,VIPA ENERGY EFFICIENCY INVESTMENT PLATFORM SFSB,01/10/2019,12500000.00,
,INFRAFOF GR - EUROBANK ERGASIAS & ALPHA BANK,01/10/2019,15333333.00,
,BERLIN FORSCHUNG III,01/10/2019,20900000.00,
,INFRAFOF GR - EUROBANK ERGASIAS & ALPHA BANK,01/10/2019,16666667.00,
,ESTAG NETWORK INVESTMENT AND GREEN LOAN,30/09/2019,110000000.00,
,POLAND SCIENCE & RESEARCH NATIONAL CENTRES V,30/09/2019,305000000.00,
,RDI FOR DOOR SOLUTIONS,30/09/2019,230000000.00,
,ESTAG NETWORK INVESTMENT AND GREEN LOAN,30/09/2019,90000000.00,
,SAARLB CLIMATE ACTION MBIL,27/09/2019,4002000.00,
,SAARLB CLIMATE ACTION MBIL,27/09/2019,13999500.00,
,AFFORDABLE HOUSING IN SWEDEN,27/09/2019,280347631.00,
,VOESTALPINE RDI AND ADVANCED MANUFACTURING,27/09/2019,150000000.00,
,ENERGY EFFICIENCY TELECOM LEBANON,27/09/2019,27434842.00,
,GLASS MANUFACTURING LEBANON - INTERMEDIATED LOAN,27/09/2019,22121628.00,
,SAARLB CLIMATE ACTION MBIL,27/09/2019,1000500.00,
,SAARLB CLIMATE ACTION MBIL,27/09/2019,55998000.00,
,ALD CLEAN TRANSPORT FLEET,27/09/2019,250000000.00,
,ENERGY EFFICIENCY TELECOM GUINEA,27/09/2019,27434842.00,
,WARSAW II METRO LINE EXTENSION,26/09/2019,341911513.00,
,LEBANON ROADS AND EMPLOYMENT PROJECT,26/09/2019,151100000.00,
,ROTTERDAM ELECTRIC BUSES TRAM & METRO INFRA,26/09/2019,111700000.00,
,FLOOD PROTECTION MEASURES,26/09/2019,100000000.00,
,ROTTERDAM ELECTRIC BUSES TRAM & METRO INFRA,26/09/2019,3300000.00,
,WROCLAW URBAN DEVELOPMENT,25/09/2019,45542525.00,
,UNIVERCELLS (IDFF),25/09/2019,20000000.00,
,VIVAWEST ENERGY EFFICIENT BUILDINGS II,25/09/2019,300000000.00,
,PKO LEASING ABS LOAN FOR MICRO-SMES,24/09/2019,146075366.00,
,SOUTHERN AFRICA AND INDIAN OCEAN SMERF,24/09/2019,3500000.00,
,PKO LEASING ABS LOAN FOR MICRO-SMES,24/09/2019,205418483.00,
,GDANSK MUNICIPAL INFRASTRUCTURE III,23/09/2019,25102693.00,
,GDANSK MUNICIPAL INFRASTRUCTURE III,23/09/2019,100410771.00,
,EIB-EIF SME FUNDS INVESTMENT FACILITY,23/09/2019,7500000.00,
,EIB-EIF SME FUNDS INVESTMENT FACILITY,23/09/2019,7500000.00,
,SABADELL INNOVATION & DIGITALIZATION OF SMES,20/09/2019,100000000.00,
,SABADELL FOCUSED SUPPORT FOR SMES AND MIDCAPS,20/09/2019,400000000.00,
,VILNIUS URBAN INFRASTRUCTURE,19/09/2019,1947600.00,
,FMB METRO ROLLING STOCK,19/09/2019,205000000.00,
,VILNIUS URBAN INFRASTRUCTURE,19/09/2019,1731200.00,
,VILNIUS URBAN INFRASTRUCTURE,19/09/2019,432.8,
,VILNIUS URBAN INFRASTRUCTURE,19/09/2019,17528400.00,
,CRYSTAL MICROFINANCE,17/09/2019,4100000.00,
,UCL ROMANIA LOAN FOR SMES AND MIDCAPS III,16/09/2019,50000000.00,
,ALFASIGMA INNOVATIVE DRUGS RDI,13/09/2019,100000000.00,
,NWB BANK CLIMATE ACTION & WATER MANAGEMENT MBIL,13/09/2019,100000000.00,
,PKP INTERCITY COMPETITIVENESS PROGRAMME,12/09/2019,230925550.00,
,E-80 HIGHWAY NIS-MERDARE PHASE I,12/09/2019,100000000.00,
,E-80 HIGHWAY NIS-MERDARE PHASE I,12/09/2019,40600000.00,
,STOCKHOLM METRO EXTENSION,10/09/2019,162874029.00,
,SOUTHERN AFRICA AND INDIAN OCEAN SMERF,10/09/2019,10000000.00,
,HYPO TIROL LOAN FOR SMES MIDCAPS OTHER PRIORITES,02/09/2019,20000000.00,
,RCSI EDUCATION & RESEARCH BUILDING,27/08/2019,28800000.00,
,RCSI EDUCATION & RESEARCH BUILDING,27/08/2019,11200000.00,
,BANK ZACHODNI ENHANCED SUPPORT FOR SMES&MID-CAPS,22/08/2019,48526786.00,
,BNPP ENERGY TRANSITION LOAN FOR SMES AND MIDCAPS,20/08/2019,150000000.00,
,ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS,13/08/2019,49893067.00,
,WARSAW APPROACHES II (TEN-T),13/08/2019,270000000.00,
,ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS,13/08/2019,4989307.00,
,ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS,13/08/2019,44903760.00,
,ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS,13/08/2019,4989307.00,
